model_type,hidden_size,num_hidden_layers,num_attention_heads,num_key_value_heads,head_dim,intermediate_size,vocab_size,tie_word_embeddings,is_moe,num_local_experts,num_experts_per_tok,num_shared_experts,moe_intermediate_size,model_id,likes,total_params,activated_params,activation_ratio,total_params_source
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,deepseek-ai/DeepSeek-R1,14274,684489845504,37559088622,0.05487165203209799,safetensors
deepseek_v4,7168,61,128,1,512,28672,129280,False,True,384,6,1,3072,deepseek-ai/DeepSeek-V4-Pro,5583,1598839674782,87312401789,0.05460985436260515,safetensors
gpt_oss,2880,36,64,8,64,2880,201088,False,True,128,4,0,2880,openai/gpt-oss-120b,5273,116829156672,5712204907,0.04889365865266938,safetensors
glm_moe_dsa,6144,78,64,64,192,12288,154880,False,True,256,8,1,2048,zai-org/GLM-5.2,5127,753329940480,50152524869,0.06657444789336829,safetensors
gpt_oss,2880,24,64,8,64,2880,201088,False,True,32,4,0,2880,openai/gpt-oss-20b,5075,20914757184,4187671602,0.2002256858713909,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,deepseek-ai/DeepSeek-V3,4213,684531386000,37561368018,0.054871652032621336,safetensors
deepseek_v4,4096,43,64,1,512,16384,129280,False,True,256,6,1,2048,deepseek-ai/DeepSeek-V4-Flash-0731,3987,304180418494,21331011301,0.07012618171350421,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,deepseek-ai/DeepSeek-V3-0324,3174,684531386000,37561368018,0.054871652032621336,safetensors
kimi_k2,7168,61,64,64,112,18432,163840,False,True,384,8,1,2048,moonshotai/Kimi-K2-Instruct,2990,1026408235864,38374301497,0.03738697738010418,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,deepseek-ai/DeepSeek-R1-0528,2462,684531386000,37561368018,0.054871652032621336,safetensors
deepseek_v4,4096,43,64,1,512,16384,129280,False,True,256,6,1,2048,deepseek-ai/DeepSeek-V4-Flash,2248,290944616402,20402835038,0.07012618171222414,safetensors
glm_moe_dsa,6144,78,64,64,64,12288,154880,False,True,256,8,1,2048,zai-org/GLM-5,2120,753864139008,35773373370,0.04745334274299573,safetensors
glm4_moe,5120,92,96,8,128,12288,151552,False,True,160,8,1,1536,zai-org/GLM-4.7,2056,358337791296,33212948328,0.0926861445673334,safetensors
glm_moe_dsa,6144,78,64,64,192,12288,154880,False,True,256,8,1,2048,zai-org/GLM-5.3,1894,753329940480,50152524869,0.06657444789336829,safetensors
glm4_moe_lite,2048,47,20,20,102,10240,154880,False,True,64,4,1,1536,zai-org/GLM-4.7-Flash,1845,31221488576,3759936110,0.1204278297252703,safetensors
glm_moe_dsa,6144,78,64,64,64,12288,154880,False,True,256,8,1,2048,zai-org/GLM-5.1,1840,753864139008,35773373370,0.04745334274299573,safetensors
kimi_k2,7168,61,64,64,112,18432,163840,False,True,384,8,1,2048,moonshotai/Kimi-K2-Thinking,1714,1026408240256,38374301662,0.03738697738088008,safetensors
qwen3_next,2048,48,16,2,256,5120,151936,False,True,512,10,0,512,Qwen/Qwen3-Coder-Next,1650,79674391296,3119367297,0.03915144184046757,safetensors
minimax_m2,3072,62,48,8,128,1536,200064,False,True,256,8,0,1536,MiniMaxAI/MiniMax-M2.5,1506,228703644928,11030418958,0.04823018435702051,safetensors
minimax_m2,3072,62,48,8,128,1536,200064,False,True,256,8,0,1536,MiniMaxAI/MiniMax-M2,1503,228689764864,11029749520,0.04823018435721994,safetensors
deepseek_v32,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,deepseek-ai/DeepSeek-V3.2,1491,685355329792,37606579175,0.05487165203254975,safetensors
glm4_moe,5120,92,96,8,128,12288,151552,False,True,160,8,1,1536,zai-org/GLM-4.5,1411,358337791296,33212948328,0.0926861445673334,safetensors
qwen3_moe,6144,62,96,8,128,8192,151936,False,True,160,8,0,2560,Qwen/Qwen3-Coder-480B-A35B-Instruct,1371,480154875392,35474039352,0.07388041061342734,safetensors
minimax_m2,3072,62,48,8,128,1536,200064,False,True,256,8,0,1536,MiniMaxAI/MiniMax-M2.1,1361,228689764864,11029749520,0.04823018435721994,safetensors
mixtral,4096,32,32,8,128,14336,32002,False,True,8,2,0,14336,dphn/dolphin-2.5-mixtral-8x7b,1253,46702809088,12879748815,0.27578103044575475,safetensors
qwen3_moe,2048,48,32,4,128,6144,151936,False,True,128,8,0,768,Qwen/Qwen3-Coder-30B-A3B-Instruct,1248,30532122624,3352844924,0.10981368591008053,safetensors
minimax_m2,3072,62,48,8,128,1536,200064,False,True,256,8,0,1536,MiniMaxAI/MiniMax-M2.7,1247,228689764864,11029749520,0.04823018435721994,safetensors
qwen3_5_moe_text,8192,92,64,4,256,32768,248320,False,True,512,10,0,2048,Qwen/Qwen3.8-2.4T-A95B,1236,2446182725504,78431172082,0.03206267923662179,safetensors
glm4_moe,5120,92,96,8,128,12288,151552,False,True,160,8,1,1536,zai-org/GLM-4.6,1235,356785898816,33069109397,0.09268614456664458,safetensors
jamba,4096,32,32,8,128,14336,65536,False,True,16,2,0,14336,ai21labs/Jamba-v0.1,1194,51570323328,7368195837,0.1428766655220766,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,unsloth/DeepSeek-R1-GGUF,1117,704920158208,38680133632,0.05487165203266424,formula
qwen3_moe,4096,94,64,4,128,12288,151936,False,True,128,8,0,1536,Qwen/Qwen3-235B-A22B,1111,235093634560,22190040653,0.0943880964473188,safetensors
qwen3_next,2048,48,16,2,256,5120,151936,False,True,512,10,0,512,Qwen/Qwen3-Next-80B-A3B-Instruct,1052,81324862720,3183985633,0.03915144184088455,safetensors
laguna,3072,48,48,8,128,12288,100352,False,True,256,10,0,1024,poolside/Laguna-S-2.1,1029,117561977600,7226149534,0.061466723183125495,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,deepseek-ai/DeepSeek-V3.1-Base,1011,684531386000,37561368018,0.054871652032621336,safetensors
deepseek_v32,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,deepseek-ai/DeepSeek-V3.2-Exp,1003,685396921376,37608861374,0.05487165203265957,safetensors
hy_v3,4096,80,64,8,128,13312,120832,False,True,192,8,1,1536,tencent/Hy3,970,298786155776,20701051469,0.06928383751662034,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,deepseek-ai/DeepSeek-R1-Zero,966,684531386000,37561368018,0.054871652032621336,safetensors
qwen3_moe,2048,48,32,4,128,6144,151936,False,True,128,8,0,768,Qwen/Qwen3-30B-A3B,945,30532122624,3352844924,0.10981368591008053,safetensors
xing4_0,3584,40,32,32,112,9216,131072,False,True,64,4,1,1024,XingChen-AGI/Xing4.0-29B-A4B,939,31215031088,5137613459,0.16458780529534867,safetensors
deepseek_v4,7168,61,128,1,512,28672,129280,False,True,384,6,1,3072,deepseek-ai/DeepSeek-V4-Pro-0813,842,1650497936906,90133451960,0.054609854362473724,safetensors
qwen3_moe,2048,48,32,4,128,6144,151936,False,True,128,8,0,768,Qwen/Qwen3-30B-A3B-Instruct-2507,839,30532122624,3352844924,0.10981368591008053,safetensors
step3p5,4096,45,64,64,128,11264,128896,False,True,288,8,0,1280,stepfun-ai/Step-3.5-Flash,836,199384301376,12106308406,0.060718463401839534,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,deepseek-ai/DeepSeek-Prover-V2-671B,833,684531386000,37561368018,0.054871652032621336,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,deepseek-ai/DeepSeek-V3.1,833,684531386000,37561368018,0.054871652032621336,safetensors
gpt_oss,2880,24,64,8,64,2880,201088,False,True,32,4,0,2880,unsloth/gpt-oss-20b-GGUF,832,20907786240,4186275840,0.20022568587347486,formula
nemotron_h,2688,52,32,2,128,1856,131072,False,True,128,6,1,1856,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,823,31577937344,2279424392,0.07218408115668469,safetensors
qwen3_moe,2048,48,32,4,128,5472,151936,False,True,128,8,0,768,Alibaba-NLP/Tongyi-DeepResearch-30B-A3B,822,30532122624,3352844924,0.10981368591008053,safetensors
qwen3_moe,4096,94,64,4,128,12288,151936,False,True,128,8,0,1536,Qwen/Qwen3-235B-A22B-Instruct-2507,801,235093634560,22190040653,0.0943880964473188,safetensors
kimi_k2,7168,61,64,64,112,18432,163840,False,True,384,8,1,2048,moonshotai/Kimi-K2-Instruct-0905,787,1026470735448,38376638168,0.037386977380558864,safetensors
lfm2_moe,2048,24,32,8,64,7168,128000,True,True,32,4,0,1792,LiquidAI/LFM2.5-8B-A1B,769,8467856832,1484139012,0.17526737183267485,safetensors
mimo_v2,6144,70,128,8,192,16384,152576,False,True,384,8,0,2048,XiaomiMiMo/MiMo-V2.5-Pro,756,1023244718976,44939650112,0.043918770630913026,safetensors
solar_open2,4096,48,64,8,128,10240,196608,False,True,320,8,1,1280,upstage/Solar-Open2-250B,755,250287810304,12221258355,0.048828819670266956,safetensors
mimo_v2_flash,4096,48,64,4,192,16384,152576,False,True,256,8,0,2048,XiaomiMiMo/MiMo-V2-Flash,751,309785318400,15797561213,0.05099519013551806,safetensors
deepseek_v2,5120,60,128,128,40,12288,102400,False,True,160,6,2,1536,deepseek-ai/DeepSeek-V2.5,735,235741434880,18637015110,0.07905701905770975,safetensors
deepseek_v32,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,deepseek-ai/DeepSeek-V3.2-Speciale,725,685396921376,37608861374,0.05487165203265957,safetensors
deepseek_v32,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,deepseek-ai/DeepSeek-Math-V2,708,685396921376,37608861374,0.05487165203265957,safetensors
deepseek_v2,5120,60,128,128,40,12288,102400,False,True,160,6,2,1536,deepseek-ai/DeepSeek-Coder-V2-Instruct,701,235741434880,18637015110,0.07905701905770975,safetensors
minimax_m1,6144,80,64,8,128,9216,200064,False,True,32,2,0,9216,MiniMaxAI/MiniMax-M1-80k,692,456089655296,39553278693,0.08672259551102976,safetensors
mixtral,6144,56,48,8,128,16384,32000,False,True,8,2,0,16384,mistral-community/Mixtral-8x22B-v0.1,671,140620634112,39151530770,0.2784195293758739,safetensors
deepseek_v2,2048,27,16,16,128,10944,102400,False,True,64,6,2,1408,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,662,15706484224,2645947730,0.16846212635905553,safetensors
minimax_text_01,6144,80,64,8,128,9216,200064,False,True,32,2,0,9216,MiniMaxAI/MiniMax-Text-01,657,456089655296,39553278693,0.08672259551102976,safetensors
glm4_moe,4096,46,96,8,128,10944,151552,False,True,128,8,1,1408,zai-org/GLM-4.5-Air,638,110468824832,13632377355,0.12340474677568081,safetensors
phimoe,4096,32,32,8,128,6400,32064,False,True,16,2,0,6400,microsoft/Phi-3.5-MoE-instruct,577,41873153344,6640249008,0.15858010390209795,safetensors
exaone_moe,6144,48,64,8,128,18432,153600,False,True,128,8,1,2048,LGAI-EXAONE/K-EXAONE-236B-A23B,577,237099669632,23275636896,0.09816815405996086,safetensors
cohere2_moe,2048,49,32,4,128,768,262144,False,True,128,8,0,768,CohereLabs/North-Mini-Code-1.0,567,30484303872,3724036126,0.12216241320900056,safetensors
bailing_moe,8192,80,64,8,128,18432,157184,False,True,256,8,1,2048,inclusionAI/Ling-1T,546,999705328640,48632240327,0.048646575079438,safetensors
deepseek_v4,7168,61,128,1,512,28672,129280,False,True,384,6,1,3072,deepseek-ai/DeepSeek-V4-Pro-DSpark,541,1650497936906,90133451960,0.054609854362473724,safetensors
unknown,6144,28,64,64,96,12288,131072,False,True,512,12,0,12288,meituan-longcat/LongCat-Flash-Chat,537,561862880256,14168336239,0.025216715210915022,safetensors
nemotron_h,2688,52,32,2,128,1856,131072,False,True,128,6,1,1856,nvidia/Nemotron-Cascade-2-30B-A3B,527,31577937344,2279424392,0.07218408115668469,safetensors
glm_moe_dsa,6144,78,64,64,192,12288,154880,False,True,256,8,1,2048,dealignai/GLM-5.3-CYBERSECURITY-FP8,510,753329940480,50152524869,0.06657444789336829,safetensors
bailing_hybrid,8192,80,64,64,128,18432,157184,False,True,256,8,1,2048,inclusionAI/Ling-2.6-1T,508,1025657871744,58551223250,0.05708650502573644,safetensors
