famille,model_id,statut,note,total_params,activated_params,d_total,d_active,score,representant,representant_statut,base_presente,revue_humaine,motif_revue
DeepSeek-V3,deepseek-ai/DeepSeek-V3,base,"nom explicite, sans suffixe",684531386000,37561368018,,,,deepseek-ai/DeepSeek-V3,modele de base,True,False,
DeepSeek-V3,deepseek-ai/DeepSeek-V3-0324,fine-tune,"checkpoint date, meme famille V3",684531386000,37561368018,0.0,0.0,0.0,deepseek-ai/DeepSeek-V3,modele de base,True,False,
DeepSeek-V3,unsloth/DeepSeek-V3-0324-GGUF,quantifie,"GGUF de V3-0324, source=formula",704920158208,38680133632,0.0127,0.0127,0.0255,deepseek-ai/DeepSeek-V3,modele de base,True,False,
DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1-Base,base,suffixe -Base explicite,684531386000,37561368018,,,,deepseek-ai/DeepSeek-V3.1-Base,modele de base,True,False,
DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,fine-tune,variante chat de V3.1-Base,684531386000,37561368018,0.0,0.0,0.0,deepseek-ai/DeepSeek-V3.1-Base,modele de base,True,False,
DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1-Terminus,fine-tune,mise a jour de V3.1,684531386000,37561368018,0.0,0.0,0.0,deepseek-ai/DeepSeek-V3.1-Base,modele de base,True,False,
DeepSeek-R1,deepseek-ai/DeepSeek-R1,base,"nom explicite, tete de ligne R1",684489845504,37559088622,,,,deepseek-ai/DeepSeek-R1,modele de base,True,False,
DeepSeek-R1,deepseek-ai/DeepSeek-R1-0528,fine-tune,checkpoint date de R1,684531386000,37561368018,0.0,0.0,0.0001,deepseek-ai/DeepSeek-R1,modele de base,True,False,
DeepSeek-R1,deepseek-ai/DeepSeek-R1-Zero,fine-tune,variante RL-only de R1,684531386000,37561368018,0.0,0.0,0.0001,deepseek-ai/DeepSeek-R1,modele de base,True,False,
DeepSeek-R1,unsloth/DeepSeek-R1-GGUF,quantifie,GGUF de R1,704920158208,38680133632,0.0128,0.0128,0.0255,deepseek-ai/DeepSeek-R1,modele de base,True,False,
DeepSeek-R1,unsloth/DeepSeek-R1-0528-GGUF,quantifie,GGUF de R1-0528,704920158208,38680133632,0.0128,0.0128,0.0255,deepseek-ai/DeepSeek-R1,modele de base,True,False,
DeepSeek-R1,nvidia/DeepSeek-R1-NVFP4,quantifie,NVFP4 de R1,396767013632,21771261510,0.2368,0.2368,0.4737,deepseek-ai/DeepSeek-R1,modele de base,True,False,
DeepSeek-R1,microsoft/MAI-DS-R1,fine-tune,nom contient R1 explicitement,671026419200,36820328179,0.0086,0.0086,0.0173,deepseek-ai/DeepSeek-R1,modele de base,True,False,
DeepSeek-R1,tngtech/DeepSeek-R1T-Chimera,autre,merge explicite referencant R1,684531386000,37561368018,0.0,0.0,0.0001,deepseek-ai/DeepSeek-R1,modele de base,True,False,
DeepSeek-R1,tngtech/DeepSeek-TNG-R1T2-Chimera,autre,merge explicite referencant R1,684531386000,37561368018,0.0,0.0,0.0001,deepseek-ai/DeepSeek-R1,modele de base,True,False,
DeepSeek-R1,unsloth/r1-1776-GGUF,quantifie,GGUF + fine-tune '1776' de r1 (nom explicite 'r1'),704920158208,38680133632,0.0128,0.0128,0.0255,deepseek-ai/DeepSeek-R1,modele de base,True,False,
DeepSeek-Prover-V2-671B,deepseek-ai/DeepSeek-Prover-V2-671B,incertain,meme architecture que V3/R1 mais nom sans lien explicite -> modele independant,684531386000,37561368018,,,,deepseek-ai/DeepSeek-Prover-V2-671B,substitut propose,False,False,
DeepSeek-V4-Flash,deepseek-ai/DeepSeek-V4-Flash,base,nom explicite sans suffixe,290944616402,20402835038,,,,deepseek-ai/DeepSeek-V4-Flash,modele de base,True,False,
DeepSeek-V4-Flash,deepseek-ai/DeepSeek-V4-Flash-0731,fine-tune,checkpoint date de V4-Flash,304180418494,21331011301,0.0193,0.0193,0.0386,deepseek-ai/DeepSeek-V4-Flash,modele de base,True,False,
DeepSeek-V4-Flash,deepseek-ai/DeepSeek-V4-Flash-DSpark,incertain,suffixe DSpark non documente (fine-tune/distillation probable),165265454782,11589435313,0.2456,0.2456,0.4913,deepseek-ai/DeepSeek-V4-Flash,modele de base,True,False,
DeepSeek-V4-Flash,nvidia/DeepSeek-V4-Flash-NVFP4,quantifie,NVFP4 de V4-Flash,166726476754,11691891205,0.2418,0.2418,0.4836,deepseek-ai/DeepSeek-V4-Flash,modele de base,True,False,
